Date,Adj Close,Close,High,Low,Open,Volume,SMA_20,SMA_50,SMA_200,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,ATR_14,ret,trend,vol_ann,high_vol,regime_scalar,base_lev,target_exposure,rebalance_flag,position,position_lag,turnover,tcost,BT_ret_net,BT_equity,equity_bh,dd_strat,dd_bh
2023-02-09,94.29751586914062,95.01000213623048,100.02999877929688,93.62999725341795,100.0,119455000,97.2640998840332,93.56266616821289,103.5496452331543,46.913874595918664,2.4542618438338053,2.5608470595061594,-0.10658521567235413,107.32492827031842,97.2640998840332,87.20327149774798,4.32836587088449,-0.04387639096981244,0,0.5561386073766754,1,0.0,0.32366032066909733,0.0,0,0.13205958704254672,0.13205958704254672,0.0,0.0,-0.005794298072390757,2.7408191672764635,2.465326495445553,-0.16928265754871008,-0.36591732327455107
2023-02-10,93.8608169555664,94.56999969482422,96.75,94.25,95.4499969482422,54980700,97.434810256958,93.55035919189453,103.43014812469482,46.374517724758256,1.847288058616698,2.4181352593282672,-0.5708472007115692,107.11732396954126,97.434810256958,87.75229654437474,4.310147421700617,-0.004631075480082014,0,0.5561994119685302,1,0.0,0.3236249376153321,0.0,1,0.0,0.13205958704254672,0.13205958704254672,9.24417109297827e-05,-0.0007040196263922773,2.7388895767903088,2.4539093823620988,-0.1698674988617802,-0.36885380801107914
2023-02-13,93.90052032470705,94.61000061035156,95.1999969482422,93.83999633789062,94.73999786376952,50076100,97.55837707519531,93.42371627807617,103.33246372222901,46.43481358108008,1.3538543012570585,2.2052790677140255,-0.851424766456967,106.977683943849,97.55837707519531,88.13907020654162,4.235147203717918,0.00042300259499583603,0,0.5553358599183534,1,0.0,0.3241281771835587,0.0,0,0.0,0.0,0.0,0.0,0.0,2.7388895767903088,2.4549473923987226,-0.1698674988617802,-0.36858683153404603
2023-02-14,93.96997833251952,94.68000030517578,94.8499984741211,92.26000213623048,94.43000030517578,54726100,97.72660522460937,93.29846252441406,103.21414516448975,46.54804306054695,0.9573731723106675,1.9556978886333538,-0.9983247163226863,106.73423694159534,97.72660522460937,88.7189735076234,4.191052028111053,0.0007396977947755623,0,0.5538680589555325,1,0.0,0.3249871464684902,0.0,0,0.0,0.0,0.0,0.0,0.0,2.7388895767903088,2.45676331157117,-0.1698674988617802,-0.3681197766057396
2023-02-15,96.21304321289062,96.94000244140624,97.12000274658205,94.1500015258789,94.48999786376952,50169000,98.01542282104492,93.2289875793457,103.12894145965576,50.2085078038477,0.814763524165059,1.7275110157396951,-0.9127474915746361,106.38683408459104,98.01542282104492,89.6440115574988,4.197192055838456,0.023870015936726663,0,0.5587494225051483,1,0.0,0.3221479839620622,0.0,0,0.0,0.0,0.0,0.0,0.0,2.7388895767903088,2.5154062909711388,-0.1698674988617802,-0.3530367856032163
2023-02-16,94.79376983642578,95.51000213623048,97.68000030517578,94.73999786376952,95.37000274658205,42462600,98.13750038146972,93.15018310546876,103.02436660766601,47.97003630435352,0.5805288749407822,1.4981145875799127,-0.9175857126391305,106.22767126882603,98.13750038146972,90.04732949411341,4.154955727713456,-0.014751361448202216,0,0.5583889084668064,1,0.0,0.32235597317689224,0.0,0,0.0,0.0,0.0,0.0,-0.0,2.7388895767903088,2.4783006235839418,-0.1698674988617802,-0.3625803738224739
2023-02-17,93.64246368408205,94.3499984741211,95.55999755859376,93.20999908447266,94.8499984741211,34284100,97.95537643432617,93.09797744750976,102.91030838012695,46.1717451919679,0.2985538997212416,1.2582024500081783,-0.9596485502869367,106.28675941461401,97.95537643432617,89.62399345403833,4.163897378104083,-0.012145377848464145,0,0.5256997365715422,1,0.0,0.34240078028934656,0.0,1,0.0,0.0,0.0,0.0,-0.0,2.7388895767903088,2.4482007260884306,-0.1698674988617802,-0.37032207603042666
2023-02-21,91.10166931152344,91.79000091552734,93.0999984741211,91.72000122070312,93.0,33629300,97.55837631225586,93.03544998168945,102.75909591674805,42.39459848072121,-0.12845343992520952,0.9808712720215008,-1.1093247119467105,106.41213326798166,97.55837631225586,88.70461935653006,4.110719408307768,-0.027132929577017406,0,0.5280022739086959,1,0.0,0.3409076227408942,0.0,0,0.0,0.0,0.0,0.0,-0.0,2.7388895767903088,2.3817738681970706,-0.1698674988617802,-0.38740708279769565
2023-02-22,90.96271514892578,91.6500015258789,92.11000061035156,90.61000061035156,91.6999969482422,30884000,97.25814552307129,92.99455902099609,102.6357504272461,42.19131720678594,-0.47262415558277837,0.6901721865006449,-1.1627963420834233,106.59058412921367,97.25814552307129,87.92570691692892,3.960005078996942,-0.0015252647250897367,0,0.5240477271874188,1,0.0,0.34348016537742826,0.0,0,0.0,0.0,0.0,0.0,-0.0,2.7388895767903088,2.378141032532769,-0.1698674988617802,-0.388341449165144
2023-02-23,90.20841979980467,90.88999938964844,91.94000244140624,89.76000213623047,91.91999816894533,41206400,97.04326972961425,92.95605010986328,102.51240001678467,41.040892510880134,-0.7970592551807556,0.3927258981643648,-1.1897851533451205,106.82939299475584,97.04326972961425,87.25714646447267,3.5319246564592723,-0.008292357455317423,0,0.5176968783397489,1,0.0,0.3476938098936564,0.0,0,0.0,0.0,0.0,0.0,-0.0,2.7388895767903088,2.3584206370118497,-0.1698674988617802,-0.39341354050926813
